Station,Date,Daily Average Wind Speed,Daily Max Wind Speed,Daily Precipitation
BEDFORD HANSCOM FIELD,1/1/2021,1.8,13,0.13
,1/2/2021,9.2,29,0.52
,1/3/2021,4,16,0.01
,1/4/2021,7,18,0
,1/5/2021,7.7,17,0.01
,1/6/2021,9.9,24,
,1/7/2021,9.6,21,0
,1/8/2021,6.8,21,0
,1/9/2021,8.3,19,0
,1/10/2021,5.4,18,0
,1/11/2021,1,9,0
,1/12/2021,3.3,20,0
,1/13/2021,3.1,13,0
,1/14/2021,1.8,10,0.1
,1/15/2021,4.1,18,0
,1/16/2021,12.8,41,1.39
,1/17/2021,14.7,39,0
,1/18/2021,10.8,32,0
,1/19/2021,6.9,24,0
,1/20/2021,7,30,0
,1/21/2021,4.2,23,
,1/22/2021,5.3,20,0
,1/23/2021,14,39,
,1/24/2021,16.7,42,0
,1/25/2021,9.2,24,0
,1/26/2021,4.4,14,0.16
,1/27/2021,4.2,12,0.03
,1/28/2021,12.1,36,0.02
,1/29/2021,15.9,37,0
,1/30/2021,9.1,26,0
,1/31/2021,1,10,0
,2/1/2021,11.5,37,0.43
,2/2/2021,12,32,0.15
,2/3/2021,8.8,18,
,2/4/2021,6.2,20,
,2/5/2021,2.4,18,
,2/6/2021,7.8,35,0
,2/7/2021,4.3,17,0.34
,2/8/2021,7.4,25,0
,2/9/2021,2.6,12,0.13
,2/10/2021,4.9,21,
,2/11/2021,5.6,27,0
,2/12/2021,7.1,24,0
,2/13/2021,4.6,16,0
,2/14/2021,2.5,9,
,2/15/2021,5.9,14,0.02
,2/16/2021,7.2,35,0.76
,2/17/2021,10,33,0
,2/18/2021,4.1,13,
,2/19/2021,7.3,19,0.1
,2/20/2021,8.7,28,
,2/21/2021,6.2,25,
,2/22/2021,5.6,27,0.19
,2/23/2021,8.1,23,
,2/24/2021,10.7,25,
,2/25/2021,15.1,41,
,2/26/2021,5,20,0
,2/27/2021,5.4,14,0.17
,2/28/2021,4,15,
,3/1/2021,11.2,53,0.21
,3/2/2021,21.4,54,
,3/3/2021,8.3,23,0
,3/4/2021,12.2,37,0
,3/5/2021,15,37,0
,3/6/2021,8.9,24,0
,3/7/2021,6.9,20,0
,3/8/2021,4.9,14,
,3/9/2021,8.8,30,0
,3/10/2021,5.3,19,0
,3/11/2021,9.7,28,0
,3/12/2021,13.2,50,0
,3/13/2021,15,49,0
,3/14/2021,13.2,49,
,3/15/2021,16.5,37,0
,3/16/2021,5,18,0
,3/17/2021,5.6,19,0
,3/18/2021,5.9,24,0.59
,3/19/2021,11.4,34,
,3/20/2021,4.3,21,0
,3/21/2021,3.3,14,0
,3/22/2021,3.8,18,0
,3/23/2021,3.9,18,0
,3/24/2021,4.6,14,
,3/25/2021,4,12,0.07
,3/26/2021,14.1,44,0.02
,3/27/2021,9.1,25,0
,3/28/2021,8.2,27,0.68
,3/29/2021,15.3,51,
,3/30/2021,7,28,0
,3/31/2021,11.7,36,0.24
,4/1/2021,14.1,35,0.41
,4/2/2021,12,27,0
,4/3/2021,5.8,24,0
,4/4/2021,8.4,29,0
,4/5/2021,14.7,38,0
,4/6/2021,7.8,25,0
,4/7/2021,3.8,20,0
,4/8/2021,5.8,22,0
,4/9/2021,4.6,17,0
,4/10/2021,6.5,20,0
,4/11/2021,9.2,26,0
,4/12/2021,8.2,29,0.03
,4/13/2021,6.7,26,0
,4/14/2021,7.2,20,
,4/15/2021,8.8,23,0.3
,4/16/2021,14.1,37,1.46
,4/17/2021,7.5,26,0.05
,4/18/2021,5.7,29,0
,4/19/2021,4.2,23,0.02
,4/20/2021,7.3,31,
,4/21/2021,11.7,37,0.1
,4/22/2021,16.4,41,0
,4/23/2021,14.5,42,0
,4/24/2021,7.9,27,0
,4/25/2021,5.2,19,0.08
,4/26/2021,13.7,38,0
,4/27/2021,7.1,21,0
,4/28/2021,4.8,17,0.22
,4/29/2021,5.3,12,1.68
,4/30/2021,14.7,47,0.13
,5/1/2021,11.2,34,0.03
,5/2/2021,9.5,31,0.02
,5/3/2021,6.1,21,0.03
,5/4/2021,8.3,22,0.63
,5/5/2021,4.8,14,0.73
,5/6/2021,9.3,32,0
,5/7/2021,6.8,25,0
,5/8/2021,5.6,18,0
,5/9/2021,8.3,29,
,5/10/2021,5.5,13,0.4
,5/11/2021,11.2,37,0
,5/12/2021,6.8,38,0.01
,5/13/2021,3.7,21,0
,5/14/2021,3.9,29,
,5/15/2021,6.5,22,0
,5/16/2021,5.6,27,
,5/17/2021,3.4,18,0.02
,5/18/2021,5.7,28,0
,5/19/2021,5.2,22,0
,5/20/2021,4.7,21,0
,5/21/2021,6.9,19,0
,5/22/2021,5.2,20,
,5/23/2021,10.4,35,0
,5/24/2021,6.9,24,0
,5/25/2021,12.4,27,0
,5/26/2021,10.1,31,0.65
,5/27/2021,9.2,23,0.01
,5/28/2021,7,25,1.15
,5/29/2021,11.5,28,0.98
,5/30/2021,9.6,26,0.79
,5/31/2021,6.3,20,0.08
,6/1/2021,5.1,19,0
,6/2/2021,5,21,0
,6/3/2021,7.9,21,
,6/4/2021,6.8,16,0
,6/5/2021,7.3,26,0
,6/6/2021,7.1,22,0
,6/7/2021,8.3,25,
,6/8/2021,4.9,17,
,6/9/2021,6.9,24,0.01
,6/10/2021,6,20,0
,6/11/2021,4.2,17,0.19
,6/12/2021,2.4,11,0.57
,6/13/2021,6,19,0
,6/14/2021,5,20,0.47
,6/15/2021,3.2,20,1.08
,6/16/2021,7.7,26,0
,6/17/2021,4.3,21,0
,6/18/2021,6.7,21,
,6/19/2021,8.8,24,
,6/20/2021,7.2,21,0
,6/21/2021,10.3,31,0
,6/22/2021,7.3,22,0.48
,6/23/2021,6.1,23,0
,6/24/2021,5.3,26,
,6/25/2021,4.3,13,0.06
,6/26/2021,11.3,30,0
,6/27/2021,12.4,28,0
,6/28/2021,9,25,0
,6/29/2021,6.7,21,0
,6/30/2021,7.7,40,0.53
,7/1/2021,5.4,16,1.29
,7/2/2021,9.6,23,0.7
,7/3/2021,8.8,23,1.33
,7/4/2021,4.8,25,0.1
,7/5/2021,7.4,20,0
,7/6/2021,5.9,44,0.44
,7/7/2021,6.9,16,0.05
,7/8/2021,7.6,27,0.51
,7/9/2021,4.3,38,2.56
,7/10/2021,2.9,14,0.25
